"wk.buffer.start","wk.buffer.end","state.abb","crop","RMSE","NSE","KGE","bias.prc","tweets.tot"
0,0,"IA","corn",5.83468345705672,0.972260312858789,0.917952497405931,8.1,204
0,0,"IL","corn",18.8959906368583,0.579050804383793,0.540906055794343,41,196
0,0,"IN","corn",14.0661701559857,0.653873616565512,0.579658921719173,-13.3,49
0,0,"MI","corn",11.1611571340712,0.901300045275209,0.753975645473842,23.1,38
0,0,"ND","corn",49.3254498205541,-23.6587837837838,-4.23078486320452,418.5,34
0,0,"SD","corn",23.0592626039242,0.38718767777946,0.309762951194716,60.9,48
0,0,"WI","corn",19.9071145542628,0.327390330113006,0.31587763628139,42,40
0,1,"IA","corn",5.14890649903762,0.980919322748219,0.952401830658298,-0.7,204
0,1,"IL","corn",11.5530363352479,0.868253499463875,0.785348455997193,20.8,196
0,1,"IN","corn",13.9071980013948,0.708767616403548,0.649610561261754,-14.7,49
0,1,"MI","corn",7.21443074496782,0.963778514393328,0.884698473941102,11.5,38
0,1,"ND","corn",34.5116809565831,-1.27219482045829,-0.515832667614144,135.3,34
0,1,"SD","corn",19.9771474378372,0.677386002269056,0.591051738299947,38.2,48
0,1,"WI","corn",11.770490407984,0.821830704160951,0.671926417586734,15.1,40
0,2,"IA","corn",5.67716149727465,0.977729103750456,0.941146374792521,-2.9,204
0,2,"IL","corn",8.20312565793253,0.939496469291526,0.880207835995107,11.9,196
0,2,"IN","corn",16.1495497183127,0.636470187836515,0.699354275806,-20.2,49
0,2,"MI","corn",6.01634677951899,0.974810018827243,0.914854212863052,7.5,38
0,2,"ND","corn",30.0950021725692,0.103116181011899,0.205462081905788,75.5,34
0,2,"SD","corn",14.5491827997403,0.8519614203697,0.791087076775999,20.6,48
0,2,"WI","corn",8.25153144592904,0.93062689940527,0.813468567015589,7.3,40
0,3,"IA","corn",8.12104505262773,0.954427900498858,0.861890204722417,-8.7,204
0,3,"IL","corn",5.73740306799341,0.972253935449913,0.919636796578844,1.8,196
0,3,"IN","corn",15.3208080887996,0.6816006829888,0.695212395623098,-17.4,49
0,3,"MI","corn",5.58652617222978,0.978280701371487,0.917845864386653,3.8,38
0,3,"ND","corn",27.5818351420965,0.437135978934001,0.481743269114859,50.6,34
0,3,"SD","corn",13.4752276463228,0.880194082811908,0.836566351241253,15.7,48
0,3,"WI","corn",5.41162769282166,0.973340021550923,0.910973262749089,0.8,40
0,4,"IA","corn",9.09216364256352,0.942877174033666,0.837194599461001,-10.5,204
0,4,"IL","corn",6.02172419771741,0.969435845206108,0.898438563187327,-0.7,196
0,4,"IN","corn",18.3430832958768,0.543591778734046,0.716571153842826,-23.8,49
0,4,"MI","corn",5.58652617222978,0.978280701371487,0.917845864386653,3.8,38
0,4,"ND","corn",25.5386144014866,0.575286779026113,0.616505547552345,37,34
0,4,"SD","corn",12.4484651951269,0.897756039102685,0.857107905673793,12.8,48
0,4,"WI","corn",5.0039053883325,0.977205915586635,0.941779537940878,-2.7,40
0,5,"IA","corn",10.7345377828823,0.920376384254198,0.798013068057929,-13.3,204
0,5,"IL","corn",6.31762006941181,0.966358319729274,0.885881210857783,-2,196
0,5,"IN","corn",18.3430832958768,0.543591778734046,0.716571153842826,-23.8,49
0,5,"MI","corn",5.9207732227772,0.975603980301471,0.896352115434518,0.3,38
0,5,"ND","corn",23.8891863058234,0.643706432118408,0.684985541947276,28.9,34
0,5,"SD","corn",11.6791945912666,0.910002211930993,0.86930472781367,10.1,48
0,5,"WI","corn",5.0039053883325,0.977205915586635,0.941779537940878,-2.7,40
1,0,"IA","corn",8.66794410157736,0.941955515207401,0.821820419576919,17.6,204
1,0,"IL","corn",20.5281864266383,0.503188637450698,0.510421215837429,46.9,196
1,0,"IN","corn",13.233480267866,0.790139869305522,0.726091278679251,-14.1,49
1,0,"MI","corn",11.7033096011898,0.893571012095536,0.711092887285842,27.8,38
1,0,"ND","corn",43.3928097850679,-20.1121058561243,-4.51845455512,446.7,34
1,0,"SD","corn",23.367771148916,0.346639312161251,0.151987572072091,78.8,48
1,0,"WI","corn",22.2636345075911,0.222796316031731,0.192806411623893,69.6,40
1,1,"IA","corn",6.68185511128974,0.97046166872096,0.898967909329349,6.2,204
1,1,"IL","corn",13.274249700729,0.826073092326097,0.74646510230936,25.3,196
